timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-08 00:41:36 UTC,2025-07-08,00:41:36,466.03,0,Tuesday,1751935296
2025-07-08 02:42:12 UTC,2025-07-08,02:42:12,466.38,2,Tuesday,1751942532
2025-07-08 03:43:25 UTC,2025-07-08,03:43:25,466.56,3,Tuesday,1751946205
2025-07-08 04:19:50 UTC,2025-07-08,04:19:50,466.56,4,Tuesday,1751948390
2025-07-08 05:10:55 UTC,2025-07-08,05:10:55,466.56,5,Tuesday,1751951455
2025-07-08 06:13:15 UTC,2025-07-08,06:13:15,466.61,6,Tuesday,1751955195
2025-07-08 07:10:25 UTC,2025-07-08,07:10:25,466.64,7,Tuesday,1751958625
2025-07-08 08:12:56 UTC,2025-07-08,08:12:56,466.72,8,Tuesday,1751962376
2025-07-08 09:11:21 UTC,2025-07-08,09:11:21,466.8,9,Tuesday,1751965881
2025-07-08 10:00:51 UTC,2025-07-08,10:00:51,466.97,10,Tuesday,1751968851
2025-07-08 11:01:01 UTC,2025-07-08,11:01:01,467.01,11,Tuesday,1751972461
2025-07-08 12:16:02 UTC,2025-07-08,12:16:02,467.07,12,Tuesday,1751976962
2025-07-08 13:26:46 UTC,2025-07-08,13:26:46,467.12,13,Tuesday,1751981206
2025-07-08 14:08:49 UTC,2025-07-08,14:08:49,467.14,14,Tuesday,1751983729
2025-07-08 15:00:57 UTC,2025-07-08,15:00:57,467.18,15,Tuesday,1751986857
2025-07-08 16:10:33 UTC,2025-07-08,16:10:33,467.23,16,Tuesday,1751991033
2025-07-08 17:09:13 UTC,2025-07-08,17:09:13,467.28,17,Tuesday,1751994553
