timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-07 00:45:22 UTC,2025-07-07,00:45:22,463.58,0,Monday,1751849122
2025-07-07 02:47:21 UTC,2025-07-07,02:47:21,463.8,2,Monday,1751856441
2025-07-07 03:48:16 UTC,2025-07-07,03:48:16,463.87,3,Monday,1751860096
2025-07-07 04:24:05 UTC,2025-07-07,04:24:05,463.89,4,Monday,1751862245
2025-07-07 05:13:04 UTC,2025-07-07,05:13:04,463.94,5,Monday,1751865184
2025-07-07 06:13:58 UTC,2025-07-07,06:13:58,463.98,6,Monday,1751868838
2025-07-07 07:11:44 UTC,2025-07-07,07:11:44,464.63,7,Monday,1751872304
2025-07-07 08:13:47 UTC,2025-07-07,08:13:47,464.78,8,Monday,1751876027
