timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-11 00:42:49 UTC,2025-07-11,00:42:49,473.5,0,Friday,1752194569
2025-07-11 02:47:12 UTC,2025-07-11,02:47:12,473.67,2,Friday,1752202032
2025-07-11 03:52:20 UTC,2025-07-11,03:52:20,473.69,3,Friday,1752205940
2025-07-11 04:26:27 UTC,2025-07-11,04:26:27,473.7,4,Friday,1752207987
2025-07-11 05:13:43 UTC,2025-07-11,05:13:43,473.73,5,Friday,1752210823
2025-07-11 06:13:27 UTC,2025-07-11,06:13:27,473.74,6,Friday,1752214407
2025-07-11 07:11:16 UTC,2025-07-11,07:11:16,473.88,7,Friday,1752217876
2025-07-11 08:12:30 UTC,2025-07-11,08:12:30,473.9,8,Friday,1752221550
2025-07-11 09:10:42 UTC,2025-07-11,09:10:42,474.03,9,Friday,1752225042
2025-07-11 10:09:15 UTC,2025-07-11,10:09:15,474.1,10,Friday,1752228555
2025-07-11 11:01:09 UTC,2025-07-11,11:01:09,474.25,11,Friday,1752231669
2025-07-11 12:15:21 UTC,2025-07-11,12:15:21,474.32,12,Friday,1752236121
2025-07-11 13:25:01 UTC,2025-07-11,13:25:01,474.4,13,Friday,1752240301
2025-07-11 14:00:58 UTC,2025-07-11,14:00:58,475.03,14,Friday,1752242458
2025-07-11 15:08:40 UTC,2025-07-11,15:08:40,475.74,15,Friday,1752246520
2025-07-11 16:10:03 UTC,2025-07-11,16:10:03,476.48,16,Friday,1752250203
2025-07-11 17:09:23 UTC,2025-07-11,17:09:23,477.12,17,Friday,1752253763
