timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-06 01:10:03 UTC,2025-07-06,01:10:03,459.93,1,Sunday,1751764203
2025-07-06 01:30:10 UTC,2025-07-06,01:30:10,459.96,1,Sunday,1751765410
2025-07-06 03:19:38 UTC,2025-07-06,03:19:38,460.04,3,Sunday,1751771978
2025-07-06 04:22:46 UTC,2025-07-06,04:22:46,460.09,4,Sunday,1751775766
2025-07-06 05:09:40 UTC,2025-07-06,05:09:40,460.24,5,Sunday,1751778580
2025-07-06 06:00:35 UTC,2025-07-06,06:00:35,460.28,6,Sunday,1751781635
2025-07-06 07:00:34 UTC,2025-07-06,07:00:34,460.31,7,Sunday,1751785234
